order_id,order_date,customer_id,store_id,product_id,quantity,unit_price,region
ORD1001,2025-10-01,CUST001,STORE01,PROD100,2,19.99,West
ORD1002,2025-10-02,CUST002,STORE02,PROD101,1,49.99,East
ORD1003,2025-10-03,CUST003,STORE01,PROD102,5,9.99,West
ORD1004,2025-10-04,CUST004,STORE03,PROD103,3,29.99,South
ORD1005,2025-10-05,CUST005,STORE02,PROD104,4,15.50,East
ORD1006,2025-10-06,CUST006,STORE04,PROD105,1,99.99,North
ORD1007,2025-10-07,CUST007,STORE03,PROD106,2,24.99,South
ORD1008,2025-10-08,CUST008,STORE01,PROD107,6,7.99,West
ORD1009,2025-10-09,CUST009,STORE04,PROD108,1,199.99,North
ORD1010,2025-10-10,CUST010,STORE02,PROD109,3,12.49,East
ORD1011,2025-10-11,CUST011,STORE05,PROD110,2,34.99,Central
ORD1012,2025-10-12,CUST012,STORE06,PROD111,1,59.99,South
ORD1013,2025-10-13,CUST013,STORE05,PROD112,4,21.50,Central
ORD1014,2025-10-14,CUST014,STORE07,PROD113,3,44.99,West
ORD1015,2025-10-15,CUST015,STORE06,PROD114,2,18.75,South
ORD1016,2025-10-16,CUST016,STORE08,PROD115,5,13.99,East
ORD1017,2025-10-17,CUST017,STORE07,PROD116,1,79.99,West
ORD1018,2025-10-18,CUST018,STORE08,PROD117,3,27.50,East
ORD1019,2025-10-19,CUST019,STORE05,PROD118,2,39.99,Central
ORD1020,2025-10-20,CUST020,STORE06,PROD119,4,16.99,South
